movie_or_book_title,quote
Braveheart,"  This Wallace, he doesn’t even have a knighthood, but he fights with passion and he inspires"
The Matrix,"Neo, I'm not afraid anymore. The Oracle told me that I would fall in love and that that man... the man that I loved would be The One"
Full Metal Jacket,"I am Gunnery Sergeant Hartman, your senior drill instructor. From now on you will speak only when spoken to, and the first and last words out of your filthy sewers will be ""Sir"". Do you maggots understand that?"
The Count of Monte Cristo,"The heart breaks when it has swelled too much in the warm breath of hope, then finds itself enclosed in cold reality."
Romeo and Juliet,"From ancient grudge break to new mutiny, where civil blood makes civil hands unclean"
The Blair Witch Project,I’m scared to close my eyes; I’m scared to open them!
The Matrix,"You Take The Red Pill - You Stay In Wonderland, And I Show You How Deep The Rabbit Hole Goes"
Office Space,"Now, you know it's up to you whether or not you want to just do the bare minimum. Or... well, like Brian, for example, has thirty seven pieces of flair, okay. And a terrific smile."
Office Space, "Oh oh and I almost forgot. I'm also gonna need you to go ahead and come in on Sunday too Kay? We lost some people this week and we need to sort of play catch-up. Thanks"
Westworld, "I always trusted code more than people anyway."
